model,scenario,Exceedance Probability 1.5C (FaIRv1.6.2),Exceedance Probability 2.0C (FaIRv1.6.2),Exceedance Probability 2.5C (FaIRv1.6.2),Exceedance Probability 3.0C (FaIRv1.6.2),Exceedance Probability 3.5C (FaIRv1.6.2),Exceedance Probability 4.0C (FaIRv1.6.2),Exceedance Probability 4.5C (FaIRv1.6.2),Exceedance Probability 5.0C (FaIRv1.6.2),p5 peak warming (FaIRv1.6.2),p10 peak warming (FaIRv1.6.2),p17 peak warming (FaIRv1.6.2),p25 peak warming (FaIRv1.6.2),p33 peak warming (FaIRv1.6.2),median peak warming (FaIRv1.6.2),p66 peak warming (FaIRv1.6.2),p67 peak warming (FaIRv1.6.2),p75 peak warming (FaIRv1.6.2),p83 peak warming (FaIRv1.6.2),p90 peak warming (FaIRv1.6.2),p95 peak warming (FaIRv1.6.2),p5 year of peak warming (FaIRv1.6.2),p10 year of peak warming (FaIRv1.6.2),p17 year of peak warming (FaIRv1.6.2),p25 year of peak warming (FaIRv1.6.2),p33 year of peak warming (FaIRv1.6.2),median year of peak warming (FaIRv1.6.2),p66 year of peak warming (FaIRv1.6.2),p67 year of peak warming (FaIRv1.6.2),p75 year of peak warming (FaIRv1.6.2),p83 year of peak warming (FaIRv1.6.2),p90 year of peak warming (FaIRv1.6.2),p95 year of peak warming (FaIRv1.6.2)
Polyclimate,Minus-8,0.37729101475189986,0.012963790791238265,0.000894054537326777,0.0,0.0,0.0,0.0,0.0,1.131444365355515,1.1901341626070077,1.2482933176822781,1.2962613439839732,1.3420730243257666,1.4268962640871714,1.5205834999644712,1.5282761794093036,1.5847534074917702,1.6543926379113998,1.7340029634035081,1.8373775072592011,2026,2027,2027,2028,2029,2035,2037,2037,2037,2037,2038,2039
Polyclimate,Minus-9,0.35359856951274027,0.011175681716584712,0.0004470272686633885,0.0,0.0,0.0,0.0,0.0,1.125715954334634,1.1854697721175818,1.2420029399283814,1.286640604036902,1.333065979657626,1.416393884066348,1.5070571383761482,1.51375318103656,1.56881470238547,1.6382688868928104,1.712475703288182,1.814155690651747,2026,2027,2027,2028,2028,2029,2036,2036,2036,2037,2037,2038
