model,scenario,Exceedance Probability 1.5C (FaIRv1.6.2),Exceedance Probability 2.0C (FaIRv1.6.2),Exceedance Probability 2.5C (FaIRv1.6.2),Exceedance Probability 3.0C (FaIRv1.6.2),Exceedance Probability 3.5C (FaIRv1.6.2),Exceedance Probability 4.0C (FaIRv1.6.2),Exceedance Probability 4.5C (FaIRv1.6.2),Exceedance Probability 5.0C (FaIRv1.6.2),p5 peak warming (FaIRv1.6.2),p10 peak warming (FaIRv1.6.2),p17 peak warming (FaIRv1.6.2),p25 peak warming (FaIRv1.6.2),p33 peak warming (FaIRv1.6.2),median peak warming (FaIRv1.6.2),p66 peak warming (FaIRv1.6.2),p67 peak warming (FaIRv1.6.2),p75 peak warming (FaIRv1.6.2),p83 peak warming (FaIRv1.6.2),p90 peak warming (FaIRv1.6.2),p95 peak warming (FaIRv1.6.2),p5 year of peak warming (FaIRv1.6.2),p10 year of peak warming (FaIRv1.6.2),p17 year of peak warming (FaIRv1.6.2),p25 year of peak warming (FaIRv1.6.2),p33 year of peak warming (FaIRv1.6.2),median year of peak warming (FaIRv1.6.2),p66 year of peak warming (FaIRv1.6.2),p67 year of peak warming (FaIRv1.6.2),p75 year of peak warming (FaIRv1.6.2),p83 year of peak warming (FaIRv1.6.2),p90 year of peak warming (FaIRv1.6.2),p95 year of peak warming (FaIRv1.6.2)
Polyclimate,Minus-2,0.8511399195350916,0.3142601698703621,0.0657130084935181,0.011175681716584712,0.001788109074653554,0.0,0.0,0.0,1.3571915803865728,1.444837228425832,1.5268129416559066,1.5958591111548066,1.6678603089394655,1.8168848407341258,1.9726051697229159,1.9826229620141973,2.078335693979658,2.2129627326731236,2.371890620807297,2.593181437522228,2050,2060,2070,2093,2094,2095,2095,2095,2100,2100,2100,2100
Polyclimate,Minus-3,0.6745641484130532,0.1434957532409477,0.01743406347787215,0.002235136343316942,0.0,0.0,0.0,0.0,1.2546788825875812,1.324407816982681,1.3894103622890326,1.4551932342730103,1.5040654218876552,1.633822811830917,1.7598906515517887,1.7695543774552125,1.8439095551945925,1.955274175055852,2.087364326332456,2.2730917176859236,2039,2049,2049,2049,2049,2050,2070,2070,2071,2095,2095,2100
