Model,Scenario,Region,Variable,Unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Polyclimate,Persistence,World,Emissions|CH4,Mt CH4/yr,370.8962528,372.6576832,380.8097666,381.5943928,387.8735392,388.0727957,390.60095723550484,393.1291187710097,398.1854418420195,398.1854418420195,399.44952260977186,401.9776841452768,401.9776841452768,401.9776841452768,401.9776841452768,401.9776841452768,401.9776841452768,401.9776841452768,401.9776841452768,401.9776841452768,401.9776841452768,401.9776841452768,401.9776841452768,401.9776841452768,401.9776841452768,401.9776841452768,401.9776841452768,401.9776841452768,401.9776841452768,401.9776841452768,401.9776841452768,401.9776841452768,401.9776841452768,401.9776841452768,401.9776841452768,401.9776841452768,401.9776841452768,401.9776841452768,401.9776841452768,401.9776841452768,401.9776841452768,401.9776841452768,401.9776841452768,401.9776841452768,401.9776841452768,401.9776841452768,401.9776841452768,401.9776841452768,401.9776841452768,401.9776841452768,401.9776841452768,401.9776841452768,401.9776841452768,401.9776841452768,401.9776841452768,401.9776841452768,401.9776841452768,401.9776841452768,401.9776841452768,401.9776841452768,401.9776841452768,401.9776841452768,401.9776841452768,401.9776841452768,401.9776841452768,401.9776841452768,401.9776841452768,401.9776841452768,401.9776841452768,401.9776841452768,401.9776841452768,401.9776841452768,401.9776841452768,401.9776841452768,401.9776841452768,401.9776841452768,401.9776841452768,401.9776841452768,401.9776841452768,401.9776841452768,401.9776841452768,401.9776841452768,401.9776841452768,401.9776841452768,401.9776841452768,401.9776841452768,401.9776841452768,401.9776841452768,401.9776841452768,401.9776841452768,401.9776841452768
Polyclimate,Persistence,World,Emissions|CO2|AFOLU,Mt CO2/yr,3243.438262,3348.037995,3557.037995,3366.371329,4015.371329,3517.44,2957.1638233893586,2829.2192067487604,2730.8677651540943,2976.3874222736263,2650.1446030342277,2572.612079733323,2572.612079733323,2572.612079733323,2572.612079733323,2572.612079733323,2572.612079733323,2572.612079733323,2572.612079733323,2572.612079733323,2572.612079733323,2572.612079733323,2572.612079733323,2572.612079733323,2572.612079733323,2572.612079733323,2572.612079733323,2572.612079733323,2572.612079733323,2572.612079733323,2572.612079733323,2572.612079733323,2572.612079733323,2572.612079733323,2572.612079733323,2572.612079733323,2572.612079733323,2572.612079733323,2572.612079733323,2572.612079733323,2572.612079733323,2572.612079733323,2572.612079733323,2572.612079733323,2572.612079733323,2572.612079733323,2572.612079733323,2572.612079733323,2572.612079733323,2572.612079733323,2572.612079733323,2572.612079733323,2572.612079733323,2572.612079733323,2572.612079733323,2572.612079733323,2572.612079733323,2572.612079733323,2572.612079733323,2572.612079733323,2572.612079733323,2572.612079733323,2572.612079733323,2572.612079733323,2572.612079733323,2572.612079733323,2572.612079733323,2572.612079733323,2572.612079733323,2572.612079733323,2572.612079733323,2572.612079733323,2572.612079733323,2572.612079733323,2572.612079733323,2572.612079733323,2572.612079733323,2572.612079733323,2572.612079733323,2572.612079733323,2572.612079733323,2572.612079733323,2572.612079733323,2572.612079733323,2572.612079733323,2572.612079733323,2572.612079733323,2572.612079733323,2572.612079733323,2572.612079733323,2572.612079733323
Polyclimate,Persistence,World,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,32890.3978,33917.99126,34396.87388,35396.3397,35615.57673,35635.2863,35600.83961588224,36174.62099511832,36905.96285325731,37162.56767653729,35340.17093350677,37203.948149190386,37203.948149190386,37203.948149190386,37203.948149190386,37203.948149190386,37203.948149190386,37203.948149190386,37203.948149190386,37203.948149190386,37203.948149190386,37203.948149190386,37203.948149190386,37203.948149190386,37203.948149190386,37203.948149190386,37203.948149190386,37203.948149190386,37203.948149190386,37203.948149190386,37203.948149190386,37203.948149190386,37203.948149190386,37203.948149190386,37203.948149190386,37203.948149190386,37203.948149190386,37203.948149190386,37203.948149190386,37203.948149190386,37203.948149190386,37203.948149190386,37203.948149190386,37203.948149190386,37203.948149190386,37203.948149190386,37203.948149190386,37203.948149190386,37203.948149190386,37203.948149190386,37203.948149190386,37203.948149190386,37203.948149190386,37203.948149190386,37203.948149190386,37203.948149190386,37203.948149190386,37203.948149190386,37203.948149190386,37203.948149190386,37203.948149190386,37203.948149190386,37203.948149190386,37203.948149190386,37203.948149190386,37203.948149190386,37203.948149190386,37203.948149190386,37203.948149190386,37203.948149190386,37203.948149190386,37203.948149190386,37203.948149190386,37203.948149190386,37203.948149190386,37203.948149190386,37203.948149190386,37203.948149190386,37203.948149190386,37203.948149190386,37203.948149190386,37203.948149190386,37203.948149190386,37203.948149190386,37203.948149190386,37203.948149190386,37203.948149190386,37203.948149190386,37203.948149190386,37203.948149190386,37203.948149190386
Polyclimate,Persistence,World,Emissions|N2O,kt N2O/yr,10539.817,10446.42833,10593.89773,10759.04688,10866.28352,10900.0,11020.020020020022,11129.12912912913,11238.23823823824,11347.34734734735,11347.34734734735,11674.674674674678,11674.674674674678,11674.674674674678,11674.674674674678,11674.674674674678,11674.674674674678,11674.674674674678,11674.674674674678,11674.674674674678,11674.674674674678,11674.674674674678,11674.674674674678,11674.674674674678,11674.674674674678,11674.674674674678,11674.674674674678,11674.674674674678,11674.674674674678,11674.674674674678,11674.674674674678,11674.674674674678,11674.674674674678,11674.674674674678,11674.674674674678,11674.674674674678,11674.674674674678,11674.674674674678,11674.674674674678,11674.674674674678,11674.674674674678,11674.674674674678,11674.674674674678,11674.674674674678,11674.674674674678,11674.674674674678,11674.674674674678,11674.674674674678,11674.674674674678,11674.674674674678,11674.674674674678,11674.674674674678,11674.674674674678,11674.674674674678,11674.674674674678,11674.674674674678,11674.674674674678,11674.674674674678,11674.674674674678,11674.674674674678,11674.674674674678,11674.674674674678,11674.674674674678,11674.674674674678,11674.674674674678,11674.674674674678,11674.674674674678,11674.674674674678,11674.674674674678,11674.674674674678,11674.674674674678,11674.674674674678,11674.674674674678,11674.674674674678,11674.674674674678,11674.674674674678,11674.674674674678,11674.674674674678,11674.674674674678,11674.674674674678,11674.674674674678,11674.674674674678,11674.674674674678,11674.674674674678,11674.674674674678,11674.674674674678,11674.674674674678,11674.674674674678,11674.674674674678,11674.674674674678,11674.674674674678
Polyclimate,Persistence,World,Emissions|F-Gases,Mt CO2-equiv/yr,928.727355,1034.876878,1060.368049,1016.055511,1131.243527,1288.190261,1371.5128759209347,1484.4581128975567,1542.1641965601364,1527.653861518614,1590.6970140835242,1627.8247188460273,1627.8247188460273,1627.8247188460273,1627.8247188460273,1627.8247188460273,1627.8247188460273,1627.8247188460273,1627.8247188460273,1627.8247188460273,1627.8247188460273,1627.8247188460273,1627.8247188460273,1627.8247188460273,1627.8247188460273,1627.8247188460273,1627.8247188460273,1627.8247188460273,1627.8247188460273,1627.8247188460273,1627.8247188460273,1627.8247188460273,1627.8247188460273,1627.8247188460273,1627.8247188460273,1627.8247188460273,1627.8247188460273,1627.8247188460273,1627.8247188460273,1627.8247188460273,1627.8247188460273,1627.8247188460273,1627.8247188460273,1627.8247188460273,1627.8247188460273,1627.8247188460273,1627.8247188460273,1627.8247188460273,1627.8247188460273,1627.8247188460273,1627.8247188460273,1627.8247188460273,1627.8247188460273,1627.8247188460273,1627.8247188460273,1627.8247188460273,1627.8247188460273,1627.8247188460273,1627.8247188460273,1627.8247188460273,1627.8247188460273,1627.8247188460273,1627.8247188460273,1627.8247188460273,1627.8247188460273,1627.8247188460273,1627.8247188460273,1627.8247188460273,1627.8247188460273,1627.8247188460273,1627.8247188460273,1627.8247188460273,1627.8247188460273,1627.8247188460273,1627.8247188460273,1627.8247188460273,1627.8247188460273,1627.8247188460273,1627.8247188460273,1627.8247188460273,1627.8247188460273,1627.8247188460273,1627.8247188460273,1627.8247188460273,1627.8247188460273,1627.8247188460273,1627.8247188460273,1627.8247188460273,1627.8247188460273,1627.8247188460273,1627.8247188460273
Polyclimate,Minus-10,World,Emissions|CH4,Mt CH4/yr,370.8962528,372.6576832,380.8097666,381.5943928,387.8735392,388.0727957,390.60095723550484,393.1291187710097,398.1854418420195,398.1854418420195,399.44952260977186,401.9776841452768,361.7799157307491,325.6019241576742,293.0417317419068,263.7375585677161,237.3638027109445,213.62742243985005,192.26468019586505,173.03821217627853,155.7343909586507,140.16095186278562,126.14485667650706,113.53037100885635,102.1773339079707,91.95960051717364,82.76364046545628,74.48727641891065,67.03854877701959,60.33469389931763,54.30122450938586,48.87110205844728,43.98399185260255,39.5855926673423,35.62703340060807,32.06433006054726,28.857897054492536,25.972107349043284,23.374896614138954,21.03740695272506,18.933666257452554,17.0402996317073,15.33626966853657,13.802642701682913,12.422378431514622,11.180140588363159,10.062126529526843,9.05591387657416,8.150322488916743,7.335290240025069,6.601761216022561,5.941585094420305,5.347426584978274,4.812683926480447,4.331415533832402,3.898273980449162,3.508446582404246,3.157601924163821,2.841841731747439,2.557657558572695,2.3018918027154256,2.0717026224438833,1.864532360199495,1.6780791241795454,1.5102712117615908,1.3592440905854317,1.2233196815268885,1.1009877133741997,0.9908889420367797,0.8918000478331017,0.8026200430497916,0.7223580387448124,0.6501222348703312,0.5851100113832981,0.5265990102449682,0.47393910922047144,0.4265451982984243,0.3838906784685819,0.3455016106217237,0.31095144955955134,0.27985630460359623,0.2518706741432366,0.22668360672891294,0.20401524605602164,0.1836137214504195,0.16525234930537755,0.1487271143748398,0.13385440293735582,0.12046896264362023,0.1084220663792582,0.09757985974133239
Polyclimate,Minus-10,World,Emissions|CO2|AFOLU,Mt CO2/yr,3243.438262,3348.037995,3557.037995,3366.371329,4015.371329,3517.44,2957.1638233893586,2829.2192067487604,2730.8677651540943,2976.3874222736263,2650.1446030342277,2572.612079733323,2315.3508717599907,2083.8157845839914,1875.4342061255923,1687.890785513033,1519.1017069617296,1367.1915362655566,1230.472382639001,1107.425144375101,996.6826299375908,897.0143669438318,807.3129302494485,726.5816372245037,653.9234735020533,588.531126151848,529.6780135366631,476.71021218299677,429.03919096469707,386.1352718682274,347.52174468140464,312.76957021326416,281.4926131919377,253.34335187274394,228.00901668546953,205.2081150169226,184.68730351523033,166.2185731637073,149.59671584733658,134.63704426260293,121.17333983634263,109.05600585270837,98.15040526743753,88.33536474069378,79.5018282666244,71.55164543996196,64.39648089596577,57.95683280636919,52.16114952573227,46.94503457315904,42.25053111584314,38.02547800425882,34.22293020383294,30.800637183449645,27.72057346510468,24.94851611859421,22.45366450673479,20.20829805606131,18.18746825045518,16.36872142540966,14.731849282868694,13.258664354581825,11.932797919123642,10.739518127211278,9.66556631449015,8.699009683041135,7.829108714737021,7.046197843263319,6.341578058936987,5.7074202530432885,5.13667822773896,4.623010404965064,4.160709364468557,3.7446384280217018,3.3701745852195315,3.0331571266975783,2.7298414140278204,2.4568572726250384,2.2111715453625345,1.9900543908262809,1.7910489517436528,1.6119440565692875,1.4507496509123587,1.3056746858211228,1.1751072172390105,1.0575964955151094,0.9518368459635984,0.8566531613672386,0.7709878452305147,0.6938890607074633,0.6245001546367169
Polyclimate,Minus-10,World,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,32890.3978,33917.99126,34396.87388,35396.3397,35615.57673,35635.2863,35600.83961588224,36174.62099511832,36905.96285325731,37162.56767653729,35340.17093350677,37203.948149190386,33483.553334271346,30135.19800084421,27121.67820075979,24409.510380683812,21968.55934261543,19771.703408353886,17794.533067518496,16015.079760766646,14413.571784689982,12972.214606220983,11674.993145598884,10507.493831038995,9456.744447935096,8511.070003141587,7659.963002827429,6893.966702544686,6204.570032290218,5584.113029061195,5025.701726155075,4523.131553539568,4070.818398185611,3663.73655836705,3297.362902530345,2967.6266122773104,2670.8639510495796,2403.777555944622,2163.3998003501597,1947.0598203151437,1752.3538382836293,1577.1184544552664,1419.4066090097397,1277.4659481087656,1149.719353297889,1034.7474179681,931.2726761712901,838.1454085541611,754.330867698745,678.8977809288705,611.0080028359835,549.9072025523851,494.9164822971466,445.42483406743196,400.88235066068876,360.7941155946199,324.71470403515787,292.24323363164206,263.01891026847784,236.71701924163006,213.04531731746704,191.74078558572035,172.5667070271483,155.31003632443347,139.77903269199012,125.8011294227911,113.22101648051199,101.89891483246079,91.7090233492147,82.53812101429324,74.28430891286392,66.85587802157752,60.17029021941977,54.15326119747779,48.73793507773001,43.864141569957006,39.47772741296131,35.52995467166518,31.976959204498662,28.779263284048795,25.901336955643917,23.311203260079523,20.98008293407157,18.882074640664413,16.993867176597973,15.294480458938176,13.76503241304436,12.388529171739924,11.149676254565932,10.034708629109339,9.031237766198405
Polyclimate,Minus-10,World,Emissions|N2O,kt N2O/yr,10539.817,10446.42833,10593.89773,10759.04688,10866.28352,10900.0,11020.020020020022,11129.12912912913,11238.23823823824,11347.34734734735,11347.34734734735,11674.674674674678,10507.20720720721,9456.486486486489,8510.83783783784,7659.754054054056,6893.77864864865,6204.400783783785,5583.960705405407,5025.564634864866,4523.008171378379,4070.7073542405415,3663.6366188164875,3297.2729569348385,2967.5456612413545,2670.791095117219,2403.711985605497,2163.3407870449473,1947.0067083404526,1752.3060375064074,1577.0754337557667,1419.36789038019,1277.431101342171,1149.687991207954,1034.7191920871585,931.2472728784426,838.1225455905983,754.3102910315384,678.8792619283846,610.9913357355462,549.8922021619916,494.9029819457924,445.4126837512132,400.8714153760919,360.7842738384827,324.7058464546344,292.235261809171,263.0117356282539,236.71056206542852,213.03950585888566,191.7355552729971,172.5619997456974,155.30579977112765,139.7752197940149,125.79769781461341,113.21792803315208,101.89613522983687,91.70652170685318,82.53586953616787,74.28228258255108,66.85405432429597,60.168648891866376,54.15178400267974,48.736605602411764,43.86294504217059,39.47665053795353,35.52898548415818,31.97608693574236,28.778478242168124,25.900630417951312,23.31056737615618,20.97951063854056,18.881559574686506,16.993403617217854,15.294063255496068,13.764656929946462,12.388191236951815,11.149372113256634,10.03443490193097,9.030991411737872,8.127892270564086,7.315103043507677,6.583592739156909,5.925233465241218,5.332710118717096,4.799439106845386,4.319495196160847,3.8875456765447627,3.4987911088902863,3.1489119980012577,2.8340207982011316
Polyclimate,Minus-10,World,Emissions|F-Gases,Mt CO2-equiv/yr,928.727355,1034.876878,1060.368049,1016.055511,1131.243527,1288.190261,1371.5128759209347,1484.4581128975567,1542.1641965601364,1527.653861518614,1590.6970140835242,1627.8247188460273,1465.0422469614246,1318.538022265282,1186.684220038754,1068.0157980348786,961.2142182313908,865.0927964082516,778.5835167674264,700.7251650906837,630.6526485816154,567.5873837234539,510.82864535110843,459.7457808159976,413.77120273439783,372.39408246095803,335.1546742148622,301.639206793376,271.4752861140384,244.32775750263454,219.89498175237108,197.90548357713396,178.11493521942057,160.30344169747852,144.27309752773067,129.8457877749576,116.86120899746186,105.17508809771567,94.6575792879441,85.19182135914969,76.67263922323471,69.00537530091124,62.10483777082011,55.8943539937381,50.30491859436429,45.27442673492786,40.74698406143507,36.67228565529157,33.00505708976241,29.704551380786167,26.73409624270755,24.060686618436797,21.654617956593118,19.489156160933806,17.540240544840426,15.786216490356383,14.207594841320745,12.78683535718867,11.508151821469802,10.357336639322822,9.32160297539054,8.389442677851486,7.5504984100663375,6.795448569059704,6.115903712153734,5.50431334093836,4.953882006844524,4.458493806160072,4.012644425544065,3.611379982989658,3.250241984690692,2.925217786221623,2.6326960075994608,2.3694264068395148,2.132483766155563,1.9192353895400067,1.7273118505860061,1.5545806655274055,1.399122598974665,1.2592103390771985,1.1332893051694786,1.0199603746525308,0.9179643371872777,0.8261679034685498,0.7435511131216949,0.6691960018095253,0.6022764016285728,0.5420487614657155,0.4878438853191439,0.4390594967872295,0.39515354710850653
