model,scenario,Exceedance Probability 1.5C (FaIRv1.6.2),Exceedance Probability 2.0C (FaIRv1.6.2),Exceedance Probability 2.5C (FaIRv1.6.2),Exceedance Probability 3.0C (FaIRv1.6.2),Exceedance Probability 3.5C (FaIRv1.6.2),Exceedance Probability 4.0C (FaIRv1.6.2),Exceedance Probability 4.5C (FaIRv1.6.2),Exceedance Probability 5.0C (FaIRv1.6.2),p5 peak warming (FaIRv1.6.2),p10 peak warming (FaIRv1.6.2),p17 peak warming (FaIRv1.6.2),p25 peak warming (FaIRv1.6.2),p33 peak warming (FaIRv1.6.2),median peak warming (FaIRv1.6.2),p66 peak warming (FaIRv1.6.2),p67 peak warming (FaIRv1.6.2),p75 peak warming (FaIRv1.6.2),p83 peak warming (FaIRv1.6.2),p90 peak warming (FaIRv1.6.2),p95 peak warming (FaIRv1.6.2),p5 year of peak warming (FaIRv1.6.2),p10 year of peak warming (FaIRv1.6.2),p17 year of peak warming (FaIRv1.6.2),p25 year of peak warming (FaIRv1.6.2),p33 year of peak warming (FaIRv1.6.2),median year of peak warming (FaIRv1.6.2),p66 year of peak warming (FaIRv1.6.2),p67 year of peak warming (FaIRv1.6.2),p75 year of peak warming (FaIRv1.6.2),p83 year of peak warming (FaIRv1.6.2),p90 year of peak warming (FaIRv1.6.2),p95 year of peak warming (FaIRv1.6.2)
Polyclimate,Minus-1,0.9794367456414841,0.6718819848010729,0.24631202503352703,0.06437192668752793,0.012516763522574878,0.0031291908806437194,0.0,0.0,1.6182786590601235,1.7228588895679517,1.8223725317045307,1.9148905864345473,2.0011947889419828,2.184191944517182,2.370415702713719,2.382899796318255,2.4959581192443294,2.6608287065758014,2.844547034587615,3.0974264224730677,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100
Polyclimate,Minus-10,0.3370585605721949,0.008940545373267769,0.0004470272686633885,0.0,0.0,0.0,0.0,0.0,1.1223985009532753,1.1829838898462859,1.2376744012229621,1.2819779012156238,1.3278768641718408,1.4096782261019416,1.4989364081482293,1.5028989623136515,1.5587219851375127,1.6244781261538241,1.6922193951529054,1.7914514000019208,2026,2027,2027,2027,2028,2029,2030,2030,2035,2036,2037,2037
