Model,Scenario,Region,Variable,Unit,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Polyclimate,Minus-1,World,AR6 climate diagnostics|Harmonized|Emissions|CH4,Mt CH4/yr,388.0727957,390.6009572355048,393.1291187710097,398.1854418420195,398.1854418420195,399.4495226097719,401.9776841452768,397.957907303824,393.9783282307858,390.0385449484779,386.1381594989932,382.2767779040032,378.4540101249632,374.6694700237136,370.92277532347646,367.2135475702417,363.5414120945393,359.9059979735939,356.306937993858,352.7438686139194,349.2164299277802,345.7242656285024,342.2670229722174,338.8443527424952,335.4559092150702,332.10135012291954,328.7803366216904,325.49253325547346,322.2376079229187,319.0152318436895,315.8250795252526,312.6668287300001,309.5401604427001,306.44475883827306,303.3803112498903,300.3465081373914,297.3430430560175,294.3696126254573,291.42591649920274,288.5116573342107,285.62654076086864,282.77027535325993,279.9425725997273,277.1431468737301,274.3717154049928,271.6279982509428,268.9117182684334,266.22260108574903,263.5603750748916,260.9247713241426,258.3155236109012,255.7323683747922,253.1750446910443,250.64329424413384,248.1368613016925,245.6554926886756,243.19893776178884,240.76694838417092,238.35927890032923,235.97568611132596,233.61592925021267,231.27976995771056,228.96697225813344,226.6773025355521,224.4105295101966,222.16642421509465,219.94475997294367,217.74531237321423,215.5678592494821,213.4121806569873,211.2780588504174,209.16527826191324,207.0736254792941,205.0028892245012,202.95286033225617,200.9233317289336,198.91409841164423,196.92495742752783,194.95570785325256,193.00615077472003,191.0760892669728,189.1653283743031,187.2736750905601,185.4009383396545,183.54692895625791,181.71145966669533
Polyclimate,Minus-1,World,AR6 climate diagnostics|Harmonized|Emissions|CO2|AFOLU,Mt CO2/yr,3517.44,2957.163823389358,2829.2192067487604,2730.8677651540943,2976.3874222736263,2650.144603034228,2572.612079733323,2546.885958935989,2521.4170993466296,2496.2029283531638,2471.240899069632,2446.528490078935,2422.063205178146,2397.842573126364,2373.8641473951006,2350.12550592115,2326.6242508619384,2303.358008353319,2280.3244282697856,2257.521183987088,2234.9459721472167,2212.5965124257445,2190.470547301487,2168.565841828472,2146.880183410188,2125.4113815760857,2104.157267760325,2083.1156950827217,2062.2845381318944,2041.6616927505756,2021.2450758230696,2001.0326250648388,1981.0222988141904,1961.2120758260485,1941.599955067788,1922.18395551711,1902.962115961939,1883.9324948023195,1865.0931698542963,1846.442238155753,1827.977815774196,1809.6980376164536,1791.6010572402893,1773.6850466678864,1755.9481962012076,1738.3887142391957,1721.0048270968034,1703.7947788258357,1686.756831037577,1669.8892627272012,1653.1903700999292,1636.65846639893,1620.2918817349407,1604.0889629175913,1588.0480732884157,1572.1675925555314,1556.4459166299762,1540.8814574636765,1525.4726428890397,1510.2179164601494,1495.115737295548,1480.1645799225923,1465.3629341233664,1450.709304782133,1436.2022117343113,1421.8401896169682,1407.6217877207985,1393.5455698435906,1379.6101141451547,1365.8140130037032,1352.155872873666,1338.6343141449297,1325.2479710034802,1311.9954912934454,1298.875536380511,1285.886781016706,1273.0279132065389,1260.2976340744735,1247.6946577337287,1235.2177111563915,1222.8655340448277,1210.6368787043791,1198.5305099173356,1186.5452048181623,1174.6797527699807,1162.932955242281
Polyclimate,Minus-1,World,AR6 climate diagnostics|Harmonized|Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,35635.2863,35600.83961588224,36174.62099511832,36905.96285325731,37162.56767653729,35340.17093350677,37203.94814919039,36831.90866769848,36463.58958102149,36098.95368521128,35737.96414835917,35380.58450687558,35026.77866180683,34676.51087518876,34329.74576643687,33986.4483087725,33646.58382568478,33310.11798742793,32977.01680755366,32647.24663947812,32320.774173083337,31997.566431352505,31677.59076703898,31360.814859368587,31047.206710774903,30736.734643667158,30429.36729723048,30125.073624258177,29823.822888015595,29525.58465913544,29230.328812544085,28938.025524418645,28648.64526917446,28362.158816482715,28078.537228317888,27797.75185603471,27519.77433747436,27244.576594099617,26972.13082815862,26702.409519877037,26435.385424678265,26171.03157043148,25909.321254727165,25650.228042179893,25393.72576175809,25139.788504140517,24888.390619099107,24639.50671290812,24393.11164577904,24149.18052932125,23907.688724028038,23668.611836787757,23431.92571841988,23197.60646123568,22965.63039662332,22735.97409265709,22508.61435173052,22283.52820821321,22060.69292613108,21840.08599686977,21621.685136901076,21405.46828553206,21191.41360267674,20979.499466649973,20769.704471983478,20562.00742726364,20356.387352991,20152.82347946109,19951.29524466648,19751.78229221981,19554.264469297617,19358.72182460464,19165.13460635859,18973.483260295005,18783.74842769205,18595.910943415136,18409.951833980984,18225.852315641176,18043.593792484764,17863.157854559915,17684.526276014316,17507.681013254172,17332.60420312163,17159.278161090413,16987.68537947951,16817.808525684715
Polyclimate,Minus-1,World,AR6 climate diagnostics|Harmonized|Emissions|F-Gases,Mt CO2/yr,1288.190261,1371.512875920935,1484.4581128975567,1542.1641965601364,1527.653861518614,1590.6970140835242,1627.8247188460273,1611.546471657567,1595.4310069409914,1579.4766968715817,1563.6819299028657,1548.045110603837,1532.5646594977986,1517.2390129028206,1502.0666227737925,1487.0459565460546,1472.175496980594,1457.453742010788,1442.8792045906805,1428.4504125447734,1414.1659084193257,1400.0242493351325,1386.024006841781,1372.1637667733632,1358.4421291056296,1344.8577078145734,1331.4091307364276,1318.0950394290633,1304.9140890347726,1291.864948144425,1278.9462986629808,1266.156835676351,1253.4952673195874,1240.9603146463917,1228.5507114999275,1216.2652043849282,1204.102552341079,1192.0615268176682,1180.1409115494914,1168.3395024339966,1156.656107409657,1145.08954633556,1133.6386508722044,1122.3022643634824,1111.0792417198477,1099.968449302649,1088.9687648096226,1078.0790771615264,1067.298286389911,1056.625303526012,1046.0590504907518,1035.5984599858443,1025.242475385986,1014.990050632126,1004.8401501258048,994.7917486245468,984.8438311383012,974.9953928269184,965.2454388986492,955.5929845096626,946.037054664566,936.5766841179204,927.2109172767412,917.9388081039738,908.759420022934,899.6718258227047,890.6751075644777,881.7683564888329,872.9506729239446,864.2211661947051,855.5789545327581,847.0231649874305,838.5529333375562,830.1674040041806,821.8657299641388,813.6470726644975,805.5106019378525,797.455495918474,789.4809409592892,781.5861315496963,773.7702702341994,766.0325675318575,758.372241856539,750.7885194379736,743.2806342435939,735.847827901158
Polyclimate,Minus-1,World,AR6 climate diagnostics|Harmonized|Emissions|N2O,kt N2O/yr,10900.0,11020.020020020022,11129.12912912913,11238.23823823824,11347.34734734735,11347.34734734735,11674.674674674678,11557.92792792793,11442.34864864865,11327.925162162164,11214.645910540545,11102.499451435138,10991.474456920789,10881.55971235158,10772.744115228064,10665.016674075783,10558.366507335026,10452.782842261677,10348.255013839058,10244.772463700669,10142.32473906366,10040.901491673025,9940.492476756295,9841.087551988732,9742.676676468844,9645.249909704156,9548.797410607114,9453.309436501044,9358.776342136034,9265.188578714671,9172.536692927526,9080.811325998253,8990.00321273827,8900.103180610886,8811.102148804777,8722.991127316729,8635.761216043562,8549.403603883125,8463.909567844294,8379.27047216585,8295.477767444192,8212.52298976975,8130.397759872052,8049.093782273331,7968.602844450598,7888.916816006093,7810.027647846032,7731.927371367571,7654.608097653895,7578.062016677356,7502.281396510582,7427.258582545476,7352.985996720022,7279.456136752821,7206.661575385293,7134.59495963144,7063.249010035126,6992.616519934775,6922.690354735428,6853.463451188073,6784.928816676193,6717.079528509431,6649.908733224336,6583.409645892093,6517.5755494331725,6452.399793938841,6387.875795999453,6323.997038039458,6260.757067659063,6198.149496982473,6136.168002012648,6074.806321992522,6014.058258772597,5953.91767618487,5894.378499423022,5835.434714428791,5777.080367284503,5719.309563611658,5662.116467975541,5605.495303295786,5549.440350262827,5493.945946760199,5439.006487292597,5384.616422419671,5330.7702581954745,5277.46255561352
Polyclimate,Minus-1,World,AR6 climate diagnostics|Infilled|Emissions|BC,Mt BC/yr,9.727423577,9.537717799505437,9.491873661302149,9.442827509635888,9.329634964626617,8.754542156654662,9.089541351693594,8.929811271245246,8.590784745307506,8.400562674308638,8.228475769748647,7.96118286338435,7.815464892540219,7.6529870839273055,7.523307208068014,7.443311902221961,7.191850787923125,6.992423623483688,6.818270397600171,6.629072467642245,6.435108537227921,6.259577852053734,6.08832737780705,5.9342963060807925,5.794383866015139,5.66032302033463,5.489742015177634,5.363698165516675,5.219383553834725,5.080486510591912,4.940365070913077,4.783363675487321,4.634044573222863,4.471450571953566,4.30859906915289,4.154613492478049,4.087079952148503,4.014472170735633,3.9472368414379773,3.885601232590822,3.8024989594200442,3.746206430381747,3.687625867413222,3.633397898044176,3.567794473860564,3.4955280861223543,3.4404181362465334,3.3821304404973476,3.339906698323898,3.27088859468536,3.22018632217538,3.1389716998504107,3.0576519996049276,3.0033788895581965,2.9214877340492684,2.8652489808333854,2.8121339581205054,2.7508766113916274,2.7047329180115454,2.6509563799011455,2.6122469702442546,2.6075211231775155,2.546327997633233,2.4926055681124883,2.4496446624496966,2.377510802894423,2.3359368147704322,2.3391803492157703,2.3119462314599444,2.270121996576894,2.2282699499209246,2.2068077667756762,2.184003420990494,2.1629562157711764,2.100400600624469,2.0750230845489424,2.048695379453396,2.025872691940316,1.9926473642701568,1.96114873922295,1.9202231427274543,1.8952587944225683,1.8785067216792994,1.866462091082049,1.8580229230573415,1.8317713285159936
Polyclimate,Minus-1,World,AR6 climate diagnostics|Infilled|Emissions|CCl4,kt CCl4/yr,47.5476,45.01854578313253,42.48256265060241,39.95350843373494,37.424454216867474,34.8954,33.28229482617027,31.67359704352587,30.064899260881468,28.456201478237062,26.84309630440734,25.23439852176293,23.625700739118532,22.01700295647413,20.403897782644403,18.7952,17.92849490690033,17.061789813800658,16.192710186199342,15.326005093099672,14.4593,13.59259490690033,12.723515279299017,11.856810186199343,10.990105093099672,10.1234,9.655424965781547,9.18872855187517,8.722032137968792,8.255335724062414,7.787360689843965,7.320664275937586,6.853967862031208,6.38727144812483,5.919296413906379,5.4526,5.201167771084338,4.949735542168675,4.6976144578313255,4.446182228915663,4.19475,3.943317771084337,3.691196686746988,3.439764457831325,3.1883322289156624,2.9369,2.8011303312346016,2.665731617848344,2.530332904462086,2.394934191075828,2.2591645223104297,2.123765808924172,1.9883670955379145,1.8529683821516565,1.717198713386258,1.5818,1.5088599671412926,1.435919934282585,1.3627800657174152,1.2898400328587076,1.2169,1.1439599671412926,1.0708200985761227,0.9978800657174152,0.9249400328587076,0.852,0.8126146728716124,0.7733369559266356,0.7340592389816589,0.6947815220366822,0.6553961949082945,0.6161184779633178,0.576840761018341,0.5375630440733643,0.4981777169449767,0.4589,0.4376316538882804,0.4163633077765608,0.3950366922234392,0.3737683461117196,0.3525,0.3312316538882804,0.3099050383351588,0.2886366922234392,0.2673683461117196,0.2461
Polyclimate,Minus-1,World,AR6 climate diagnostics|Infilled|Emissions|CFC11,kt CFC11/yr,43.5734,41.881746933187294,40.18545920043812,38.49380613362541,36.80215306681271,35.1105,33.876730331234604,32.64633161784835,31.415932904462085,30.185534191075828,28.95176452231043,27.721365808924173,26.49096709553791,25.260568382151654,24.026798713386256,22.7964,21.997317853231102,21.19823570646221,20.396964293537785,19.59788214676889,18.7988,17.999717853231104,17.198446440306682,16.399364293537786,15.600282146768894,14.8012,14.28109526416644,13.76241157952368,13.24372789488092,12.72504421023816,12.2049394744046,11.68625578976184,11.16757210511908,10.648888420476322,10.12878368464276,9.6101,9.273234583789703,8.936369167579407,8.598580832420591,8.261715416210295,7.924849999999999,7.587984583789703,7.250196248630887,6.913330832420591,6.576465416210295,6.239599999999999,6.020340651519299,5.801680372296742,5.583020093074186,5.364359813851629,5.145100465370928,4.926440186148371,4.707779906925814,4.489119627703257,4.269860279222557,4.0512,3.909197809419496,3.767195618838992,3.6248043811610073,3.482802190580504,3.3408,3.198797809419496,3.056406571741511,2.9144043811610074,2.772402190580504,2.6304,2.5379632083219272,2.4457789761839583,2.353594744045989,2.261410511908021,2.168973720229948,2.076789488091979,1.9846052559540104,1.8924210238160413,1.7999842321379689,1.7078,1.6477229189485214,1.5876458378970426,1.5274041621029573,1.4673270810514785,1.40725,1.347172918948521,1.2869312431544355,1.2268541621029572,1.1667770810514786,1.1066999999999998
Polyclimate,Minus-1,World,AR6 climate diagnostics|Infilled|Emissions|CFC113,kt CFC113/yr,0.8742000000000001,0.7816107338444688,0.6887677984665936,0.5961785323110624,0.5035892661555312,0.411,0.3789286613742129,0.3469449493566931,0.3149612373391732,0.2829775253216534,0.2509061866958664,0.2189224746783465,0.1869387626608267,0.1549550506433069,0.1228837120175198,0.0908999999999999,0.0838238773274917,0.0767477546549835,0.0696522453450164,0.0625761226725082,0.0554999999999999,0.0484238773274917,0.0413283680175246,0.0342522453450164,0.0271761226725082,0.0200999999999999,0.0185269915138242,0.0169582808650424,0.0153895702162606,0.0138208595674787,0.012247851081303,0.0106791404325212,0.0091104297837393,0.0075417191349575,0.0059687106487818,0.0044,0.0040601861993428,0.0037203723986856,0.0033796276013143,0.0030398138006571,0.0027,0.0023601861993428,0.0020194414019715,0.0016796276013143,0.0013398138006571,0.001,0.0009198467013413,0.0008399124007664,0.0007599781001916,0.0006800437996167,0.0005998905009581,0.0005199562003832,0.0004400218998083,0.0003600875992335,0.0002799343005748,0.0001999999999999,0.0001800109529025,0.000160021905805,0.0001399780941949,0.0001199890470974,0.0001,8.001095290251917e-05,5.99671412924425e-05,3.997809419496168e-05,1.9989047097480824e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Polyclimate,Minus-1,World,AR6 climate diagnostics|Infilled|Emissions|CFC114,kt CFC114/yr,1.6696,1.515315993181818,1.3606092904545457,1.2063252836363636,1.052041276818182,0.89775727,0.8338038978072817,0.770025261604161,0.7062466254010402,0.6424679891979195,0.5785146170052012,0.5147359808020805,0.4509573445989597,0.387178708395839,0.3232253362031206,0.2594466999999999,0.2410177104764513,0.2225887209529025,0.2041092410470975,0.1856802515235487,0.167251262,0.1488222724764512,0.1303427925706462,0.1119138030470975,0.0934848135235487,0.075055824,0.069713281823159,0.0643853367560908,0.0590573916890227,0.0537294466219545,0.0483869044451136,0.0430589593780454,0.0377310143109772,0.0324030692439091,0.0270605270670681,0.021732582,0.0201875026788061,0.0186424233576122,0.0170931109423877,0.0155480316211938,0.0140029523,0.0124578729788061,0.0109085605635816,0.0093634812423877,0.0078184019211938,0.0062733225999999,0.005824369476485,0.0053766430008486,0.0049289165252121,0.0044811900495756,0.0040322369260607,0.0035845104504243,0.0031367839747878,0.0026890574991513,0.0022401043756364,0.0017923779,0.0016580231760268,0.0015236684520536,0.0013889456329463,0.0012545909089731,0.001120236185,0.0009858814610268,0.0008511586419194,0.0007168039179463,0.0005824491939731,0.00044809447,0.0004256468143252,0.0004032604910429,0.0003808741677607,0.0003584878444785,0.0003360401888037,0.0003136538655214,0.0002912675422392,0.000268881218957,0.0002464335632822,0.00022404724,0.0002016547858378,0.0001792623316757,0.0001568085283242,0.0001344160741621,0.00011202362,8.963116583789703e-05,6.717736248630887e-05,4.4784908324205913e-05,2.239245416210296e-05,0.0
