model,scenario,Exceedance Probability 1.5C (FaIRv1.6.2),Exceedance Probability 2.0C (FaIRv1.6.2),Exceedance Probability 2.5C (FaIRv1.6.2),Exceedance Probability 3.0C (FaIRv1.6.2),Exceedance Probability 3.5C (FaIRv1.6.2),Exceedance Probability 4.0C (FaIRv1.6.2),Exceedance Probability 4.5C (FaIRv1.6.2),Exceedance Probability 5.0C (FaIRv1.6.2),p5 peak warming (FaIRv1.6.2),p10 peak warming (FaIRv1.6.2),p17 peak warming (FaIRv1.6.2),p25 peak warming (FaIRv1.6.2),p33 peak warming (FaIRv1.6.2),median peak warming (FaIRv1.6.2),p66 peak warming (FaIRv1.6.2),p67 peak warming (FaIRv1.6.2),p75 peak warming (FaIRv1.6.2),p83 peak warming (FaIRv1.6.2),p90 peak warming (FaIRv1.6.2),p95 peak warming (FaIRv1.6.2),p5 year of peak warming (FaIRv1.6.2),p10 year of peak warming (FaIRv1.6.2),p17 year of peak warming (FaIRv1.6.2),p25 year of peak warming (FaIRv1.6.2),p33 year of peak warming (FaIRv1.6.2),median year of peak warming (FaIRv1.6.2),p66 year of peak warming (FaIRv1.6.2),p67 year of peak warming (FaIRv1.6.2),p75 year of peak warming (FaIRv1.6.2),p83 year of peak warming (FaIRv1.6.2),p90 year of peak warming (FaIRv1.6.2),p95 year of peak warming (FaIRv1.6.2)
Polyclimate,Minus-6,0.4546267322306661,0.03218596334376397,0.0013410818059901655,0.0,0.0,0.0,0.0,0.0,1.1546534128827786,1.2136302726424026,1.2735315592599408,1.3258299762909203,1.3735798926674543,1.4698353890543454,1.5679891038547376,1.5777539690124802,1.6364658869975286,1.7125351988978197,1.800170624453803,1.9172219242083106,2027,2029,2036,2037,2037,2038,2038,2038,2039,2039,2048,2049
Polyclimate,Minus-7,0.4264640143048726,0.02056325435851587,0.000894054537326777,0.0,0.0,0.0,0.0,0.0,1.143670885847929,1.202161125257633,1.2623340887603776,1.3144096767215387,1.3608199829266594,1.453987401716594,1.5482227787999951,1.5568960761690138,1.6147909402496388,1.6878996707828229,1.7717643140696104,1.87750168565953,2027,2028,2029,2031,2036,2037,2037,2037,2038,2038,2039,2040
