Model,Region,Scenario,Unit,Variable,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Polyclimate,World,Persistence,K,Raw Surface Temperature (GMST)|FaIRv1.6.2|5.0th Percentile,0.37288645125105396,0.4439566482125022,0.5007524111894351,0.5394761955160083,0.5884808660054591,0.6414088108374306,0.685471244874355,0.7152627844802772,0.7328101008505441,0.7435053509308664,0.7539283673262518,0.7587059170494995,0.7659124822086886,0.777624478719766,0.7966707809578403,0.8130199609423003,0.8342950478701452,0.8551072397956694,0.8769623733138535,0.9008234564430925,0.9222683526063642,0.94277927373348,0.9646463714976448,0.9851175163264984,1.0039199201727924,1.0207844983406151,1.0396784057611022,1.0626704606982154,1.0878752029153353,1.1069327316227315,1.123393379363187,1.1358438854586632,1.1472818147132389,1.1569435966134265,1.1668190604024673,1.1726668602144363,1.1810732775092252,1.1937582075906268,1.2088120169335979,1.2288650227851452,1.2473509115966583,1.2656703304281205,1.2830838198133554,1.2984219475621541,1.3145513541520601,1.327380345072695,1.3370829908780735,1.3473206802923727,1.3584661810060423,1.369796982631612,1.3864638521125838,1.4035959516392456,1.4222369096005634,1.4385539908172125,1.457046985971132,1.4717029406271724,1.481273680289747,1.4889765411773122,1.4978749923223948,1.5065735812277172,1.5173136829947411,1.5310042921095255,1.5460506528007976,1.5612899485728216,1.5753744820957776,1.5887571699439003,1.5987553307416171,1.609011730791094,1.6195042606420889,1.629405391100657,1.6397568954011077,1.6528147668150348,1.6683905803671424,1.6828511962236588,1.6998854624596742,1.7131363818701133,1.7240881010503886,1.7334955158029794,1.7441843988918369,1.75596876264652,1.7641472645746616,1.776871361227084,1.7906555668386939,1.8037595136090443,1.8180246446830277,1.8343954742494961,1.8494543679153188,1.8640233031330051,1.877245912765574,1.8885575808241257,1.8983140833153207,1.9071637009544395,1.9159373464043115,1.9270935112339798,1.9390561845879817,1.9536805157198398,1.9691821335174458,1.9852040009461502,2.0005489194662585,2.0137430142732917,2.025289206020368,2.035491600237835,2.0447743907797373,2.054320839276662,2.0642066956173895,2.075273811566881
Polyclimate,World,Persistence,K,Raw Surface Temperature (GSAT)|FaIRv1.6.2|5.0th Percentile,0.38780190930109615,0.46171491414100235,0.5207825076370125,0.5610552433366487,0.6120201006456776,0.6670651632709279,0.7128900946693292,0.7438732958594885,0.7621225048845659,0.7732455649681012,0.7840855020193019,0.7890541537314796,0.7965489814970361,0.8087294578685568,0.828537612196154,0.8455407593799924,0.8676668497849511,0.8893115293874962,0.9120408682464077,0.9368563947008163,0.9591590867106189,0.9804904446828193,1.0032322263575506,1.0245222169795585,1.044076716979704,1.0616158782742398,1.0812655419915462,1.105177279126144,1.1313902110319487,1.151210040887641,1.1683291145377144,1.1812776408770098,1.1931730873017685,1.2032213404779635,1.2134918228185663,1.2195735346230139,1.2283162086095945,1.241508535894252,1.257164497610942,1.278019623696551,1.2972449480605248,1.3162971436452455,1.33440717260589,1.3503588254646406,1.3671334083181426,1.380475558875603,1.3905663105131967,1.401213507504068,1.4128048282462842,1.4245888619368767,1.4419224061970872,1.4597397897048154,1.479126385984586,1.496096150449901,1.5153288654099772,1.5305710582522596,1.540524627501337,1.5485356028244048,1.5577899920152907,1.5668365244768259,1.578006230314531,1.5922444637939066,1.6078926789128296,1.6237415465157348,1.638389461379609,1.6523074567416565,1.662705543971282,1.6733722000227382,1.6842844310677725,1.6945816067446833,1.7053471712171522,1.7189273574876365,1.7351262035818282,1.7501652440726054,1.7678808809580613,1.781661837144918,1.7930516250924045,1.8028353364350986,1.8139517748475105,1.8262075131523807,1.834713155157648,1.8479462156761675,1.8622817895122417,1.8759098941534063,1.890745630470349,1.9077712932194761,1.9234325426319319,1.9385842352583254,1.952335749276197,1.964099884057091,1.9742466466479336,1.9834502489926173,1.9925748402604841,2.004177251683339,2.016618431971501,2.0318277363486335,2.0479494188581437,2.0646121609839962,2.0805708762449093,2.0942927348442235,2.1063007742611832,2.1169112642473484,2.1265653664109267,2.136493672847729,2.1467749634420854,2.158284764029556
Polyclimate,World,Persistence,K,Surface Temperature (GSAT)|FaIRv1.6.2|5.0th Percentile,0.3538344963256177,0.42673904938517515,0.48314615653141013,0.5257887469413498,0.5745642200641233,0.627661061265426,0.6712284905380421,0.7016113967808989,0.7179630520464744,0.7311475919893005,0.7398516205316118,0.745665396589313,0.7519962585351655,0.7656917819543543,0.7812025140632219,0.7989199833244541,0.8185200040598763,0.8378837724721632,0.8595704973748762,0.8832614052449402,0.9046822608144991,0.9255424503149622,0.9472701542552113,0.9681144130238102,0.9882788780432151,1.0073115966150612,1.0273443892778498,1.051352984915426,1.0739290406800865,1.094355001571936,1.112739515848187,1.1273550473549108,1.138867672012487,1.1485899866426728,1.155781341037457,1.164548366632129,1.1745571453387482,1.1857414405941689,1.1995889722365585,1.2175457361484083,1.2364596043527012,1.2565974513681943,1.2755885610911517,1.2898996710673707,1.302987553076207,1.3165268217259745,1.325593091567731,1.3365816547654639,1.34999379325769,1.3623886905104752,1.3768097604264469,1.3948503632515572,1.4111931913457232,1.4285862883269191,1.4447317278441236,1.4567264235720068,1.4656582295991325,1.4739440859137343,1.4838898973643317,1.4917279158835681,1.5034309386368332,1.5178448079333173,1.5336528419129447,1.54923483909558,1.5645853564730992,1.5794035039605145,1.5904610798943521,1.6003447884522428,1.6124049729372028,1.6232890833426425,1.636616880282849,1.649670493969024,1.6658704603929246,1.683466128982164,1.6994599892874973,1.7124294938153322,1.7229840479710758,1.7339454707193793,1.7439108361370381,1.7536786257166068,1.765724309216188,1.7751056302994197,1.7859555019348794,1.7996823115140113,1.8152391907859136,1.8315963200850707,1.8472182846155767,1.862529115898358,1.875760947086635,1.8878790384039408,1.8989134668459955,1.90899479963627,1.9182685126537606,1.9291937030126955,1.940832969704895,1.9541438874071315,1.9710079158715845,1.987706115123656,2.0050613231270615,2.0199112080864023,2.0326740670463406,2.042218972936606,2.0503224145669456,2.058742944315457,2.068439889248664,2.0803990903944864
Polyclimate,World,Persistence,W/m^2,Effective Radiative Forcing|FaIRv1.6.2|5.0th Percentile,1.3106389911637564,1.4165077548829212,1.2735037685174557,1.3694643633604637,1.653078663521081,1.7631919995174627,1.7749337882594316,1.6903740068692452,1.608526133756981,1.6634391716351815,1.6139274484559993,1.5860111282185247,1.6445855808907015,1.752666660818012,1.791944799594199,1.8291219383884907,1.9144626592448213,1.9277588811402193,2.070010018506382,2.038798961799984,2.142489538915667,2.1900617875142583,2.2567983676121943,2.288338823525439,2.3387296383817042,2.4228971317528107,2.4694700382497325,2.557147590472191,2.612110933774699,2.6687937868556557,2.6765625937341744,2.684739511740801,2.6903689017418704,2.7043004846883654,2.720900534654945,2.749645310743859,2.7975059764300307,2.8464654064714985,2.9137461919444747,3.002632501926786,3.048463009780151,3.1027878140560006,3.12993503756975,3.1717251134639097,3.1787141501738776,3.1928491044944094,3.2111207621360824,3.2528251873632055,3.2945528332767813,3.342214755900481,3.418457194205007,3.4754380373633813,3.5304607487287414,3.561480921927133,3.5700429614661697,3.5644331250896766,3.5710912084771276,3.5878371252013177,3.606036586505883,3.6428053549374266,3.696651623732138,3.7581251939179023,3.788242287914005,3.825418567940666,3.858102975491571,3.862932521334252,3.8757856082370257,3.893467552699892,3.925899808453442,3.959783868452886,3.9966226177192437,4.049563796906112,4.099146590953195,4.138612515439268,4.17036439817265,4.178121003675708,4.187502251434998,4.206962342413362,4.230795863422862,4.252007155537619,4.2794965179394575,4.30157014118872,4.340041042746045,4.390941723476041,4.437349503897188,4.475654825979403,4.50375667239484,4.526567998821332,4.536464303320726,4.562565679118497,4.563853919296495,4.573753959552343,4.594012838499292,4.622357611812532,4.668988210102575,4.718596518976372,4.772123102164959,4.823464918251092,4.836837564026223,4.8422943858408765,4.851973205389565,4.8554630266775485,4.87194187040553,4.889070186796215,4.921684054135586,4.964937601499653
Polyclimate,World,Persistence,W/m^2,Effective Radiative Forcing|Aerosols|FaIRv1.6.2|5.0th Percentile,-1.5710690691763987,-1.5270252491671419,-1.8383964916257072,-1.8000144874733777,-1.5146134000402154,-1.447140015804834,-1.448204541173528,-1.6286645878477528,-1.6768418923540795,-1.6454489123303289,-1.6910393752830077,-1.7563558195596152,-1.7063246920267654,-1.6358763106829035,-1.5984348648393938,-1.6982638006769568,-1.6303989213401946,-1.733399059593662,-1.6428374723158885,-1.7313137366401052,-1.588735657618252,-1.5615618954100599,-1.5447751818328441,-1.5341547425917819,-1.507657749871233,-1.4271855104973947,-1.45573600065936,-1.4208450011817852,-1.401436047434376,-1.3551093181764153,-1.3329235879542995,-1.3129328197140933,-1.289761821541291,-1.278044868989777,-1.2614949456587867,-1.2483929940391503,-1.2084575371684965,-1.173038742300928,-1.140981232580875,-1.1042527720759558,-1.0713269090093367,-1.0443944137484409,-1.0191525520340177,-0.9900358302846622,-0.9646247166711903,-0.9369996112264767,-0.9105899047845188,-0.8818518177712379,-0.8548826812444308,-0.8323046065394586,-0.8064232322469278,-0.7850870321635239,-0.7665750402324796,-0.7477592856110908,-0.7261956669004679,-0.7054360288631353,-0.6989820201610011,-0.6847691021854937,-0.6712554819351302,-0.65599930988229,-0.6416832273296674,-0.6265769759049836,-0.6144416919293817,-0.6022655481043869,-0.5843528741483383,-0.570541883934377,-0.5573499986505336,-0.5416604054999862,-0.5307169715400933,-0.5130014800036825,-0.5001053068877402,-0.49067040795928046,-0.4851444668608343,-0.4761049753672415,-0.46585410712530106,-0.4645003174406328,-0.4491824139132171,-0.4382055499565471,-0.4303967408006435,-0.41653652667478475,-0.40593456459530824,-0.39584691686829593,-0.3821467526304744,-0.3689443826653532,-0.36008283170851746,-0.35193028157718875,-0.3433294394030508,-0.34027462966778205,-0.33735924023587754,-0.32492490698908655,-0.3197013680413039,-0.31828741690514467,-0.3187326298585935,-0.31510609595921263,-0.3120931374578089,-0.30835483025611576,-0.299459526618692,-0.29563559643199844,-0.2930587426668761,-0.28819070146446024,-0.283292384306327,-0.28139050064803567,-0.27906282372911967,-0.277431281282656,-0.27807293836811303,-0.278464539973798
Polyclimate,World,Persistence,W/m^2,Effective Radiative Forcing|Aerosols|Direct Effect|FaIRv1.6.2|5.0th Percentile,-0.5628270927757001,-0.5514632786773737,-0.6040940313170536,-0.5878734562019811,-0.5302968526314417,-0.5212096696399277,-0.5201632862371114,-0.5461897452172291,-0.5625490486338373,-0.567557482830004,-0.583412795772854,-0.5982655783033582,-0.5810484741774249,-0.5654946473655751,-0.5442320813128694,-0.5475273771535981,-0.5428349063461932,-0.5542203868478306,-0.5359893595177122,-0.549587622459744,-0.48203828577908425,-0.4734434720298106,-0.4654969150502368,-0.45811300111550624,-0.4488765451397304,-0.4430323392851569,-0.4346135232430326,-0.4269530593986784,-0.42246046256582626,-0.4142840798072318,-0.40984985371912935,-0.4088924184708471,-0.39855688912421444,-0.39968214081870884,-0.39794967927520114,-0.395523451177763,-0.37991711053986105,-0.36616438646658767,-0.35511114516552433,-0.34252685496099317,-0.333604629821743,-0.325464538473648,-0.3158632114922561,-0.3070667192080502,-0.30171310405984,-0.295210124859491,-0.28856100483661185,-0.2787245936347444,-0.272019758849819,-0.26476449212332853,-0.2589543680429625,-0.25446133007956423,-0.2506942673298907,-0.2473407306837901,-0.24402398655750723,-0.23923374832220703,-0.23996543400576237,-0.23764306567832547,-0.23595115942949044,-0.23354677211938635,-0.23176225652007268,-0.23024421922856542,-0.22805696321045804,-0.22606105229066653,-0.2228322000352295,-0.21970984804160515,-0.21649628579707703,-0.2132084005049528,-0.21031079513380338,-0.20724992283801003,-0.20587515338433468,-0.2047477650720877,-0.20562715172654922,-0.20424901245589555,-0.20145266244547458,-0.2032373376644885,-0.19884306699155516,-0.19586329811177125,-0.19359650327838965,-0.18969098562123776,-0.18666041306620104,-0.1845585779615687,-0.18103721251956095,-0.1774646525769859,-0.1754611095218995,-0.17432989240733998,-0.17296619056737755,-0.17241144455382784,-0.17212669014711568,-0.16876981089641765,-0.1679276768937685,-0.168910199818601,-0.17014197170325265,-0.16905356369655727,-0.16801692373599403,-0.16640495251845427,-0.1623785630262703,-0.16015236684149808,-0.1589851635382043,-0.15561601979090392,-0.153028635036329,-0.15249937878293457,-0.15386794823591543,-0.15516847729478075,-0.1578908317963953,-0.16069354140954176
Polyclimate,World,Persistence,W/m^2,Effective Radiative Forcing|Aerosols|Direct Effect|BC|FaIRv1.6.2|5.0th Percentile,0.08613072113580113,0.08421910658128949,0.09301162062836048,0.09515814735667426,0.08439727144875842,0.08076821795364895,0.08279378477825927,0.08964629525390111,0.09258829021605133,0.09712082895472982,0.10160657523869948,0.10289534851421754,0.10830311671242839,0.10540000557291139,0.10566618633292287,0.11403924785678493,0.11123243884807275,0.11464439119479954,0.1124633046468508,0.11523354073999341,0.11497801449637188,0.11211916965383507,0.11142830362015944,0.11068918360183855,0.10898338461254499,0.10031680033786333,0.10536520072734797,0.10359531005528082,0.09960211348683377,0.09705024315499652,0.09441274467721521,0.09055812837198922,0.08784734775818212,0.08514936869193708,0.08291928147408203,0.08127136360814827,0.07833277172142042,0.07578099910071817,0.07327256748971085,0.07076493459559602,0.0682708393298067,0.06609133841558813,0.06404452162845814,0.061864063538270064,0.059472842403674335,0.057242084269034356,0.05508967057784805,0.052996711871335735,0.051530136084006806,0.04911848458999566,0.04695152747035176,0.0446931570404966,0.04236302987636872,0.04002050124466194,0.037062221837163324,0.03473501564728551,0.033577348667218586,0.032445954290167583,0.031332047124865245,0.03038712431921719,0.029121281981227463,0.02826877930236385,0.027231848530970416,0.02638533727112187,0.025433395763481078,0.024567642898630726,0.02374213953911685,0.022940985259491762,0.022086643752459462,0.021410087643774917,0.020443591400665144,0.019516303895800793,0.018911535794790123,0.018060407648701166,0.017649935965088386,0.016763085155260184,0.016080248316456793,0.01558873068541374,0.014529401258828947,0.013876149632627554,0.013394953323551518,0.012318002113592437,0.011256432877025727,0.010188495773759802,0.009346532303316581,0.00843982558517832,0.00795302349302722,0.007664390797791501,0.007295897290628431,0.0068891314224525735,0.006493166017248025,0.0058955687225021505,0.0054261335290824745,0.005229311424438843,0.005117166868900085,0.005376957092091526,0.004859912506511077,0.004202252800339244,0.0036402617731574457,0.003822221776368012,0.004523434050720251,0.00461005266416041,0.004465959820370116,0.004321644727014763,0.0038532633661471027,0.00329882256428057
Polyclimate,World,Persistence,W/m^2,Effective Radiative Forcing|Aerosols|Direct Effect|OC|FaIRv1.6.2|5.0th Percentile,-0.12283586809700962,-0.11421605552274003,-0.19709984748676845,-0.1925446092628609,-0.12915309256929253,-0.1079121813010499,-0.1070169821144847,-0.15807249671414872,-0.16284153971743034,-0.14534863715515067,-0.14873779387672484,-0.16278097513866258,-0.1535014062783511,-0.13922464844936105,-0.14054588013514302,-0.16497968014770678,-0.14696658125326464,-0.17545182249323915,-0.15322821321480345,-0.17819750939594464,-0.16614617489852532,-0.16122933099091047,-0.160018936629061,-0.16081821282878542,-0.15862748600774979,-0.14164013585461516,-0.15121406798020023,-0.14440635757323758,-0.14300317799153114,-0.13506331161138557,-0.13173149491210182,-0.1284288731289353,-0.12647174688844384,-0.12377637650471435,-0.12153401573046506,-0.11870509057933265,-0.11489611097683798,-0.11168195595721232,-0.1080176916875188,-0.10330124969901233,-0.09929192509052999,-0.09565144209094537,-0.09296560060214193,-0.08971641116786241,-0.08627094874152964,-0.08294931675277006,-0.07949227671941317,-0.07590900616651113,-0.07185489527590792,-0.06898473954608006,-0.06596442186329282,-0.06315756793042912,-0.06104839577338639,-0.058299660594807665,-0.055614802103346496,-0.05316848241519042,-0.05200231371600614,-0.049893638955367844,-0.047618388757333846,-0.04476528937328034,-0.042332219157606994,-0.039604956202404513,-0.037446161305124175,-0.03484675911325949,-0.03137200800477258,-0.02853041942071755,-0.025862040017758537,-0.023888965293420453,-0.022402988625149514,-0.02003296204783144,-0.017531127939850535,-0.015596780911107206,-0.013928691649670102,-0.011829635691585608,-0.009260793516747268,-0.007438100447430515,-0.005711586751014813,-0.0040252859862565495,-0.002285764516055857,-0.0008239664478732954,0.00012602600790650995,0.000330576963877907,0.0006597927168057666,0.0009860851531161919,0.0012399345567843567,0.001448100404043811,0.0015854718874274386,0.0016678917125243216,0.0016797711783086112,0.0017120023777690476,0.0017210605264795446,0.0017277112146111817,0.0017688136178810917,0.0018120294943422541,0.0018234323542604984,0.0017245587159338347,0.00196810726870329,0.0020113661467759977,0.0020162233762540697,0.0020286046767985988,0.0021135385188088118,0.0021389771855924054,0.002238295257248127,0.002323350282839124,0.0024108631694161682,0.0025644230607407446
Polyclimate,World,Persistence,W/m^2,Effective Radiative Forcing|Aerosols|Direct Effect|Sulfur|FaIRv1.6.2|5.0th Percentile,-0.5895409976682497,-0.5797623010961434,-0.5819280294213436,-0.5693866823179294,-0.5388167118787516,-0.5401806496158422,-0.544032279746757,-0.5404438067040465,-0.5598346907150741,-0.5866172329253124,-0.6089132098940353,-0.6134629340292973,-0.6094443947548951,-0.5958941173185222,-0.5705455916688971,-0.5658650070204482,-0.5716704275957152,-0.5626456858455406,-0.5575702805936529,-0.5543924834695693,-0.4886144156822322,-0.4781042012665577,-0.46769705299079467,-0.45713344041094717,-0.4455069883795209,-0.43584109207039323,-0.4267033502021894,-0.4208240814633407,-0.40878501266399125,-0.4007790387436887,-0.39468405098969106,-0.3885406698621087,-0.37461562562281714,-0.3723590605444487,-0.36715344277978823,-0.364523666750562,-0.34550854585625534,-0.3287985493426865,-0.3164259374960794,-0.30395016465656904,-0.29429187773847315,-0.2869600783651453,-0.27661378192256736,-0.26702892708240306,-0.26059712965700554,-0.2521228724055144,-0.2449110997910903,-0.23414636330085875,-0.22846122904761482,-0.2204889851134919,-0.21265022060035604,-0.2065807832835972,-0.20079948664525746,-0.19549804408021887,-0.18868935190466585,-0.18194500413366727,-0.18091183858154236,-0.17788065860320845,-0.17596381966175537,-0.1738478512434169,-0.17120432160624183,-0.1685888321820639,-0.16639480539262452,-0.1650712728566937,-0.1622520595404842,-0.1595601229458571,-0.1558974854612458,-0.15210307484496444,-0.1483028922204236,-0.14492640017021002,-0.1425826702605535,-0.14128019142168927,-0.1424631170966756,-0.14095155891389688,-0.13915618773424301,-0.14098917168491215,-0.13705583064456583,-0.1347301646553367,-0.1321083874850526,-0.12834880846828242,-0.12559291972514275,-0.12239338855268733,-0.11837920013561448,-0.11433887326302627,-0.11180102822675897,-0.10979765231683251,-0.107468352996,-0.10616683067695667,-0.1046063517248079,-0.09961688423225,-0.09754604363653413,-0.09656229978207516,-0.09627263960925063,-0.0947852099480014,-0.09359020175819525,-0.09192755011211935,-0.0900026234262908,-0.08886596775565557,-0.08818117508132231,-0.08681128112353168,-0.08616033667543495,-0.08528768319490963,-0.08426049655874376,-0.08294603772640677,-0.08231638478131968,-0.08158405930319958
Polyclimate,World,Persistence,W/m^2,Effective Radiative Forcing|Aerosols|Indirect Effect|FaIRv1.6.2|5.0th Percentile,-1.270375401992971,-1.2309308620865769,-1.5163356834454995,-1.49638674503316,-1.246241133989825,-1.1716527887296608,-1.1756631363593928,-1.3564680403742104,-1.3924339817160254,-1.3680008067697986,-1.405314725521261,-1.4547564230642827,-1.4337012969040441,-1.3734975009199633,-1.354053341226219,-1.4421408894094063,-1.384452635199459,-1.4726675488811212,-1.3975537733729866,-1.4773947186540968,-1.3848460118719232,-1.3588735105465142,-1.3460371810609841,-1.3398295184876912,-1.318143333884403,-1.2392359156068091,-1.27284121839789,-1.2403827318252403,-1.2205779090488496,-1.1828249461549154,-1.1579761797675512,-1.1325886022924958,-1.1120837395032244,-1.0928285626999248,-1.074455008911468,-1.0584358211019136,-1.02636107065251,-0.995481350289739,-0.9635880082892474,-0.9330651565361193,-0.9020757221881177,-0.8792512003216459,-0.8571030697560312,-0.8302535450757963,-0.8077360832277671,-0.7837305019270493,-0.7612018405193531,-0.731687369902233,-0.7118659477857772,-0.6863023784419927,-0.6650447126578534,-0.6440776027239573,-0.6267632073734937,-0.6062703418004604,-0.5834511136945256,-0.5631906037127904,-0.5537235419715465,-0.543077185188268,-0.5293715076669795,-0.5138446271237397,-0.4983290600667745,-0.48623224869640724,-0.47508515467736484,-0.4630517279214138,-0.44589017178510343,-0.43015858150944997,-0.4174619172125915,-0.40541036424461613,-0.3940659715269203,-0.3819679408731061,-0.36848712658407035,-0.35713646783203784,-0.35220998388335006,-0.34396456238941525,-0.333911900709497,-0.3298235474741421,-0.31918042406543035,-0.31143885853533015,-0.3007766772886044,-0.2914951207974808,-0.2824297257757453,-0.27062528484695847,-0.2580862071433728,-0.24616387041723914,-0.23618045752577027,-0.22826953039935372,-0.2223287449446236,-0.21922490295318628,-0.21582516511328484,-0.20584766465090737,-0.20073499513317783,-0.197318867150084,-0.19494511455139543,-0.19184406723481462,-0.18950899701411394,-0.18726564682729974,-0.18220176990680093,-0.17980683206428597,-0.1778833392358903,-0.17519467391925247,-0.1737770196169076,-0.17152925632885999,-0.16699845864472848,-0.16384331308982902,-0.16214710764111187,-0.16035204012015372
